"id","listing_url","last_scraped","host_id","host_name","host_since","host_location","neighbourhood","neighbourhood_cleansed","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","number_of_reviews","review_scores_rating","cancellation_policy","amenities"
5589471,"https://www.airbnb.com/rooms/5589471","2016-07-04",28980052,"Philippe","2015-03-08","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",6,3,4,4,191,0,NA,"flexible","TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Fire Extinguisher|Essentials"
3018762,"https://www.airbnb.com/rooms/3018762","2016-07-03",3183980,"Tim & Jen","2012-08-07","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",4,1,1,1,99,8,93,"strict","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Shampoo"
12862174,"https://www.airbnb.com/rooms/12862174","2016-07-04",68322417,"Dan","2016-04-22","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",1,1,1,1,30,0,NA,"moderate","TV|Internet|Wireless Internet|Kitchen|Buzzer/Wireless Intercom|Heating|Smoke Detector|Safety Card|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron"
6198459,"https://www.airbnb.com/rooms/6198459","2016-07-03",32143733,"Michel","2015-04-28","Paris, Île-de-France, France","","Batignolles-Monceau","75017","House","Entire home/apt",6,1,2,5,200,3,100,"moderate","TV|Cable TV|Internet|Wireless Internet|Kitchen|Breakfast|Indoor Fireplace|Heating|Family/Kid Friendly|Washer|Dryer|First Aid Kit|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
2605719,"https://www.airbnb.com/rooms/2605719","2016-07-04",13344086,"Leslie","2014-03-20","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",8,1,3,5,280,2,100,"moderate","Cable TV|Internet|Wireless Internet|Wheelchair Accessible|Kitchen|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|Dryer"
917659,"https://www.airbnb.com/rooms/917659","2016-07-03",4927954,"Aurélie","2013-02-01","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",2,1,1,1,75,133,92,"strict","Internet|Wireless Internet|Wheelchair Accessible|Kitchen|Pets Allowed|Buzzer/Wireless Intercom|Heating|First Aid Kit|Hair Dryer|Iron"
2375969,"https://www.airbnb.com/rooms/2375969","2016-07-03",12139243,"Lambert","2014-02-11","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",5,1,1,3,115,0,NA,"moderate","TV|Cable TV|Internet|Wireless Internet|Kitchen|Indoor Fireplace|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Shampoo"
13146717,"https://www.airbnb.com/rooms/13146717","2016-07-03",73318332,"Stephanie","2016-05-22","Paris, Île-de-France, France","Ternes","Batignolles-Monceau","75017","House","Entire home/apt",10,3.5,4,7,359,0,NA,"flexible","TV|Cable TV|Internet|Wireless Internet|Kitchen|Breakfast|Heating|Family/Kid Friendly|Washer|Dryer|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace|translation missing: en.hosting_amenity_50"
2680392,"https://www.airbnb.com/rooms/2680392","2016-07-04",12984381,"Olivier","2014-03-10","Paris, Île-de-France, France","Batignolles","Batignolles-Monceau","75017","House","Entire home/apt",6,2,3,4,215,3,100,"strict","TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Smoke Detector|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
4838079,"https://www.airbnb.com/rooms/4838079","2016-07-04",13219187,"Sergio","2014-03-17","Paris, Île-de-France, France","Ternes","Batignolles-Monceau","75017","House","Entire home/apt",4,1.5,2,3,199,15,92,"flexible","TV|Internet|Wireless Internet|Wheelchair Accessible|Kitchen|Elevator in Building|Hot Tub|Heating|Washer|Dryer|Shampoo"
